30pN,20pN,15pN,12pN,10pN,7.5pN,7pN,6.5pN,6pN,5.5pN,5pN
,,,,,2.40585,5.00832,0.0504935,2.59857,5.4804,
,,,,,1.09047,5.73995,2.51306,1.74837,3.23542,
,,,,,1.47483,4.33287,3.65039,0.580354,3.42547,
,,,,,3.10038,4.40819,4.7243,4.2168,2.95247,
,,,,,2.11861,3.69466,5.37981,-0.394521,4.6079,
,,,,,3.30983,5.40299,1.31256,4.09831,5.53723,
,,,,,2.49449,4.41381,3.51803,4.77208,-0.0448321,
,,,,,2.52194,3.23744,4.00893,0.520917,1.91599,
,,,,,-0.329054,5.12861,4.49788,4.28163,3.29692,
,,,,,1.78627,5.57889,5.20679,3.33407,3.07481,
,,,,,0.140796,5.00303,-0.287108,5.85475,-2.13111,
,,,,,2.61145,4.87573,2.61378,4.26914,5.52505,
,,,,,0.436259,3.33747,4.7084,4.67769,5.01225,
,,,,,0.774437,4.08289,2.09704,2.99762,2.56509,
,,,,,3.30344,4.14713,0.968606,5.3211,4.4732,
,,,,,4.34534,4.07131,-1.90445,5.80399,4.60254,
,,,,,2.14632,4.53152,-0.991338,4.88721,4.27933,
,,,,,1.12772,4.20433,-0.498508,1.75178,1.65181,
,,,,,1.53225,4.20306,1.02868,3.14424,3.88369,
,,,,,-1.82585,4.53348,2.52192,3.13055,4.22779,
,,,,,2.26726,5.03719,3.9164,1.69798,3.676,
,,,,,1.45009,3.89177,2.71041,0.810241,4.20586,
,,,,,0.0964822,5.28147,4.18083,5.0394,2.08997,
,,,,,0.927899,2.81552,2.31653,-0.859728,2.97697,
,,,,,3.32742,3.49433,2.51544,-0.10433,5.26466,
,,,,,2.10142,2.8195,2.10343,4.55252,1.93566,
,,,,,2.56082,3.14431,4.6371,4.71641,3.69576,
,,,,,1.94181,4.24116,2.63984,3.25102,5.38181,
,,,,,-0.457383,3.91893,1.98864,2.28007,3.69249,
,,,,,-0.95857,4.96604,3.28568,-0.0376385,3.3938,
,,,,,2.79948,4.51075,4.81769,3.3946,4.55673,
,,,,,3.12132,2.81892,1.55835,3.00189,3.07496,
,,,,,2.44145,5.24509,3.04472,2.02338,3.06468,
,,,,,1.92317,4.58729,1.84949,3.92058,4.37253,
,,,,,2.57485,5.35556,4.17251,2.35898,5.87208,
,,,,,3.94873,2.73268,4.70921,1.48355,5.36396,
,,,,,2.30848,4.74285,4.27689,3.77341,1.46824,
,,,,,2.79932,5.27412,2.87386,3.14307,4.06292,
,,,,,0.735761,3.5311,4.32201,4.94387,0.959308,
,,,,,2.20418,5.06968,4.03191,3.23944,4.91999,
,,,,,1.26694,5.06621,3.98906,3.86366,5.71885,
,,,,,2.17039,4.38224,2.60693,3.5893,3.89317,
,,,,,1.26472,5.64651,2.69708,1.54959,4.30905,
,,,,,2.20399,3.92894,2.64476,4.71433,4.18765,
,,,,,0.688521,4.03627,3.95177,3.38185,2.82567,
,,,,,2.19223,2.79551,4.50154,3.80559,4.45184,
,,,,,1.92074,3.62811,2.77548,2.76641,1.94732,
,,,,,2.65029,1.86003,2.99481,3.65984,4.67492,
,,,,,5.34291,3.07213,4.43532,3.8382,4.46658,
,,,,,3.59517,-2.43207,3.69222,3.55193,4.30124,
,,,,,1.60631,3.15241,3.77604,3.99215,3.38722,
,,,,,6.19287,2.49172,3.6043,3.57469,5.88774,
,,,,,6.34316,2.78286,1.08806,2.56297,4.05461,
,,,,,7.11745,2.81056,4.54594,5.1935,3.94945,
,,,,,6.02429,3.5684,3.39263,3.89448,3.91408,
,,,,,3.45692,5.21152,2.75341,3.29541,2.63067,
,,,,,,0.893779,3.6118,2.65478,4.23994,
,,,,,5.34343,2.47736,3.04126,1.51648,4.59238,
,,,,,3.59517,3.46554,4.13889,4.05532,4.96052,
,,,,,1.60631,3.68314,2.79499,4.22095,4.18523,
,,,,,6.19287,1.24997,2.39136,5.0069,4.31515,
,,,,,6.34316,2.35997,3.57516,0.480826,2.4803,
,,,,,,1.83215,-0.142114,0.777323,4.84031,
,,,,,1.29555,-0.487653,3.4829,2.18449,5.31182,
,,,,,,1.98632,3.2276,2.58356,3.40909,
,,,,,,3.20446,3.13341,2.55342,5.34616,
,,,,,,1.86429,0.22042,4.76437,5.19987,
,,,,,,2.16951,1.12259,0.789298,5.11933,
,,,,,,1.88298,3.19961,3.25571,4.24398,
,,,,,,2.13482,0.0513583,3.41092,3.64503,
,,,,,,3.24201,1.59229,4.72263,5.72662,
,,,,,,-3.25875,1.50603,3.60581,2.92988,
,,,,,,2.04625,1.46152,5.47641,4.84704,
,,,,,,4.49196,4.01006,5.87227,4.28138,
,,,,,,2.35176,0.549508,4.7231,0.0569473,
,,,,,,1.45892,2.16849,1.96918,5.5527,
,,,,,,3.90025,2.95293,0.337814,4.85926,
,,,,,,3.66564,1.98872,-0.834814,4.82134,
,,,,,,2.80693,3.64957,1.5708,3.49761,
,,,,,,1.96135,,4.43567,3.99112,
,,,,,,3.48293,1.65636,5.47096,5.54224,
,,,,,,1.38799,2.44556,0.971033,1.30286,
,,,,,,3.78739,3.74771,4.75199,1.13223,
,,,,,,3.12369,-0.886465,3.61637,0.302273,
,,,,,,3.44968,3.54634,5.01152,1.40005,
,,,,,,2.05787,1.59369,3.60689,3.18978,
,,,,,,3.72343,2.99393,4.2945,2.69475,
,,,,,,1.4782,2.34132,4.3381,4.1234,
,,,,,,0.594624,-0.766578,1.53902,3.4224,
,,,,,,3.51727,3.85574,3.34635,3.7624,
,,,,,,3.6245,2.42819,4.03425,2.14628,
,,,,,,-2.22636,4.30212,3.74147,3.08565,
,,,,,,2.78709,3.16897,5.38744,4.50794,
,,,,,,0.951712,2.71189,4.94471,3.53891,
,,,,,,-0.803388,,3.59565,2.21319,
,,,,,,3.89739,,4.84754,5.41511,
,,,,,,4.1673,0.0992841,4.19286,2.9304,
,,,,,,4.52312,2.61813,5.84935,2.5464,
,,,,,,3.87113,2.34824,5.14688,3.45232,
,,,,,,5.3144,2.19341,4.73813,5.63663,
,,,,,,3.51561,2.9659,4.618,4.79015,
,,,,,,0.269042,2.14268,3.81714,2.82589,
,,,,,,4.87952,2.68038,4.76404,1.497,
,,,,,,3.82485,1.84062,4.60399,4.87261,
,,,,,,2.76132,-0.48996,3.56684,3.68196,
,,,,,,4.29027,-1.51748,3.38445,5.30101,
,,,,,,3.21868,0.27795,3.64537,4.38217,
,,,,,,4.9046,2.25632,0.0863979,3.30935,
,,,,,,3.29964,1.0355,4.86183,3.98721,
,,,,,,3.6299,3.21344,4.08236,4.65431,
,,,,,,3.87054,1.64911,3.74734,4.14558,
,,,,,,5.28386,2.03412,4.81878,3.2833,
,,,,,,-0.576373,3.50643,5.69857,3.33091,
,,,,,,5.7891,2.29549,3.34296,2.39523,
,,,,,,3.72818,3.28038,3.77388,2.383,
,,,,,,2.83931,1.10583,4.82564,2.6078,
,,,,,,-2.84212,0.0294229,4.14561,1.40401,
,,,,,,5.61376,3.83181,1.04711,4.25842,
,,,,,,3.37095,1.01811,0.7643,4.63024,
,,,,,,4.5048,4.12229,1.59984,6.60532,
,,,,,,5.51396,0.924287,0.826519,5.58163,
,,,,,,4.79865,1.8719,0.550938,1.70961,
,,,,,,4.14493,1.84802,0.799388,2.84873,
,,,,,,2.78587,-0.378912,1.27738,4.74821,
,,,,,,1.93694,1.80818,1.62825,2.6828,
,,,,,,4.92709,2.22693,4.2312,2.96408,
,,,,,,-0.382343,1.44048,5.43302,6.38204,
,,,,,,2.05055,-0.409548,3.76935,2.97915,
,,,,,,4.34213,2.33825,4.39699,5.64692,
,,,,,,5.00947,3.37083,-0.0904183,4.47883,
,,,,,,3.84441,1.58529,3.7078,4.02054,
,,,,,,4.55246,2.86763,3.53354,0.0826393,
,,,,,,4.82031,3.23392,4.76778,4.79502,
,,,,,,4.14646,2.91831,-0.532141,6.26942,
,,,,,,-0.104709,1.85034,1.85429,4.28618,
,,,,,,1.3957,2.50492,2.12831,4.52183,
,,,,,,5.05396,0.732555,2.71105,4.95115,
,,,,,,3.86046,2.20025,3.96208,2.90064,
,,,,,,5.13467,-2.18658,3.69193,5.14342,
,,,,,,0.69978,1.71147,4.03837,5.0074,
,,,,,,4.30627,0.0615654,4.06545,1.79446,
,,,,,,2.11004,2.60158,5.25654,4.97666,
,,,,,,4.01835,2.20823,2.81485,4.81088,
,,,,,,2.60814,1.43768,5.29549,5.18285,
,,,,,,3.70901,1.35152,4.12242,2.46437,
,,,,,,4.40009,3.69297,3.62887,4.68622,
,,,,,,4.4979,-0.0646665,3.38603,5.55581,
,,,,,,4.43814,4.84434,4.85661,3.80223,
,,,,,,4.01177,1.07946,4.71491,4.08195,
,,,,,,0.829608,2.97859,2.89341,5.39498,
,,,,,,2.42881,1.56357,4.37,6.06285,
,,,,,,4.25591,1.71751,5.51094,3.52318,
,,,,,,4.24903,2.79444,3.01754,4.65592,
,,,,,,0.633556,3.63361,5.56241,5.37702,
,,,,,,4.55443,2.22477,3.60523,5.48128,
,,,,,,1.03792,2.74634,4.50377,4.90197,
,,,,,,3.01142,2.30956,4.12067,4.11848,
,,,,,,4.31164,3.15247,1.53359,3.93926,
,,,,,,3.52529,2.3969,5.19685,5.20616,
,,,,,,-1.93009,4.13385,5.75947,2.92604,
,,,,,,1.09264,2.76105,4.24936,5.474,
,,,,,,4.47547,3.56474,1.39158,5.89421,
,,,,,,-0.348381,2.21914,3.45392,3.20452,
,,,,,,2.61051,2.3347,1.52031,2.01587,
,,,,,,5.1403,2.0628,3.57179,5.78407,
,,,,,,3.59402,1.4646,3.98687,2.11124,
,,,,,,5.51668,3.34992,2.85258,4.74587,
,,,,,,2.53141,2.13655,4.79839,,
,,,,,,3.03631,2.99672,5.10541,4.41932,
,,,,,,4.65396,3.25056,3.9458,1.7642,
,,,,,,4.52638,2.79377,4.13971,4.03733,
,,,,,,5.3064,2.59646,-0.0725137,,
,,,,,,4.96154,3.71036,3.35429,3.96361,
,,,,,,3.27935,3.8778,4.05366,3.95349,
,,,,,,3.77205,4.4795,3.49017,3.33245,
,,,,,,4.54081,0.431679,4.22869,3.38432,
,,,,,,3.0698,1.89385,3.21989,,
,,,,,,2.32095,-1.94676,6.17273,5.04026,
,,,,,,5.52179,-1.16062,3.10407,,
,,,,,,4.62655,-0.0960429,4.3015,3.76762,
,,,,,,3.49937,3.11834,3.94103,3.66179,
,,,,,,4.14983,4.27279,4.5095,1.73827,
,,,,,,5.10586,2.80984,4.29522,2.29179,
,,,,,,4.39769,3.49394,3.64131,3.27101,
,,,,,,3.25205,4.37614,6.10436,4.86746,
,,,,,,5.2299,3.6872,5.33508,,
,,,,,,2.97993,4.29532,4.81687,0.148592,
,,,,,,3.29225,4.20831,2.61991,4.87543,
,,,,,,5.41362,4.36414,3.36605,3.78321,
,,,,,,3.47579,3.96723,5.03235,2.56372,
,,,,,,2.96713,1.01187,3.15191,,
,,,,,,1.61542,3.96652,2.49068,2.36453,
,,,,,,3.14426,2.50713,4.18806,4.617,
,,,,,,3.69056,2.74129,5.76016,3.88884,
,,,,,,2.55598,-0.00570927,3.80345,2.95314,
,,,,,,4.67217,1.74324,3.47108,,
,,,,,,2.82867,3.58352,3.36038,-1.41001,
,,,,,,2.27483,3.03581,3.86325,-1.45081,
,,,,,,0.530311,1.99324,6.38115,2.48491,
,,,,,,1.48103,2.45088,2.16418,4.34679,
,,,,,,-1.96488,4.46952,4.23446,0.841696,
,,,,,,4.95925,0.402186,5.31417,4.15117,
,,,,,,1.23939,2.89448,4.39157,2.87605,
,,,,,,1.14095,2.32114,4.41074,3.321,
,,,,,,4.62448,-0.340721,4.61997,2.72011,
,,,,,,2.36968,3.38616,5.45175,4.21646,
,,,,,,0.248936,0.962285,2.96828,4.55628,
,,,,,,2.8599,3.85653,4.22647,,
,,,,,,3.60037,2.16997,4.88827,5.26636,
,,,,,,2.95358,2.96225,5.78019,0.584949,
,,,,,,2.56394,4.04051,3.49706,1.6774,
,,,,,,0.646637,3.85762,4.00317,-0.202839,
,,,,,,4.58807,3.37968,3.44755,-0.476279,
,,,,,,2.07576,2.87037,3.20606,0.638955,
,,,,,,4.4083,2.95547,1.04915,,
,,,,,,3.25061,2.11125,4.02234,4.3429,
,,,,,,1.21724,4.87179,1.61521,3.32884,
,,,,,,2.97905,4.46681,1.13168,1.49973,
,,,,,,3.19448,0.893419,2.35632,2.63067,
,,,,,,2.83291,3.51092,5.45859,3.07167,
,,,,,,4.9084,1.89585,3.25481,4.04258,
,,,,,,3.17094,3.2544,3.71034,,
,,,,,,3.9172,1.63446,3.54022,4.85601,
,,,,,,4.57361,3.48286,5.51616,,
,,,,,,4.79338,2.75307,4.11232,2.08333,
,,,,,,3.72531,1.03706,3.95127,4.44995,
,,,,,,6.0663,2.25007,2.1882,,
,,,,,,4.62132,1.74556,3.20842,4.29049,
,,,,,,5.44172,2.35762,5.92775,4.08219,
,,,,,,3.76633,1.89111,5.33174,4.68693,
,,,,,,3.23375,3.27839,4.13876,,
,,,,,,2.06717,-0.254419,4.46627,2.38084,
,,,,,,4.38111,4.26306,3.41492,0.91785,
,,,,,,0.645987,2.10124,2.29152,3.51788,
,,,,,,3.10492,1.73324,1.33955,3.45543,
,,,,,,5.28473,0.498524,1.72585,1.48435,
,,,,,,3.91163,4.85488,0.896247,3.64388,
,,,,,,1.25437,2.28439,2.37609,4.43221,
,,,,,,0.386928,3.94863,-0.0216374,3.05744,
,,,,,,0.161047,1.71686,1.36169,4.42265,
,,,,,,2.6941,3.22108,1.4798,2.94238,
,,,,,,5.36222,3.18626,3.12455,1.82064,
,,,,,,-0.260928,3.01016,1.91058,3.65667,
,,,,,,4.10281,4.00707,-0.504429,2.12921,
,,,,,,3.78119,2.21095,2.69544,,
,,,,,,3.69734,2.76074,4.23375,2.15047,
,,,,,,5.19405,5.1249,5.16942,1.57131,
,,,,,,3.43453,2.76555,4.94664,5.02079,
,,,,,,2.73615,2.75068,2.55373,3.20908,
,,,,,,3.43545,4.62404,4.83293,4.67884,
,,,,,,3.20349,3.16167,4.8739,5.10468,
,,,,,,3.51749,2.69972,6.16277,5.85953,
,,,,,,3.16598,4.27986,4.35315,4.80968,
,,,,,,4.93161,3.79048,4.31073,3.65876,
,,,,,,3.94409,3.3833,5.34056,4.50704,
,,,,,,4.26729,0.917873,5.86169,5.1432,
,,,,,,1.39077,1.56509,4.85012,5.29823,
,,,,,,0.0887981,3.0167,4.04474,2.12133,
,,,,,,4.98028,4.4879,-0.595026,5.55972,
,,,,,,4.73048,2.42415,4.68262,5.31602,
,,,,,,4.76564,2.70459,3.47335,5.35055,
,,,,,,-1.49931,1.99258,6.05835,5.71819,
,,,,,,4.07176,2.12694,4.95575,3.79166,
,,,,,,4.4783,3.95586,5.84493,-2.59267,
,,,,,,-2.17048,3.07035,5.63562,4.07542,
,,,,,,5.14452,3.77454,4.83163,2.9474,
,,,,,,-0.312137,4.43995,3.29022,5.22863,
,,,,,,1.30272,4.12074,2.6833,4.40933,
,,,,,,0.422519,0.736695,3.02514,2.38779,
,,,,,,-0.393312,-1.88913,3.08552,2.35776,
,,,,,,4.8229,2.31247,5.17835,4.32689,
,,,,,,4.9702,2.50962,3.87228,5.74986,
,,,,,,3.29363,2.08195,3.86757,5.34116,
,,,,,,4.2866,4.63716,3.34001,3.77711,
,,,,,,2.62751,2.63977,4.56083,2.75975,
,,,,,,3.98362,1.98829,4.85685,2.69294,
,,,,,,1.15395,3.28565,5.09155,4.00969,
,,,,,,4.92104,4.81754,5.80163,3.07611,
,,,,,,1.36766,1.55744,4.99333,5.45294,
,,,,,,3.05961,3.04464,5.78293,5.43727,
,,,,,,4.13637,1.83242,5.68868,4.1729,
,,,,,,1.39262,4.17176,4.72553,0.669991,
,,,,,,4.06252,4.70509,3.80703,4.44897,
,,,,,,4.2533,4.27695,3.34944,4.75922,
,,,,,,4.01244,2.87382,4.58496,4.78383,
,,,,,,4.83825,4.32165,4.33803,5.42118,
,,,,,,2.79324,4.02978,4.65122,4.13813,
,,,,,,1.68523,3.98908,5.46593,5.08481,
,,,,,,3.1484,2.60188,4.65486,4.08305,
,,,,,,5.52844,2.69703,2.11251,5.14934,
,,,,,,2.5983,2.64408,4.81782,4.20973,
,,,,,,3.11278,3.95182,4.77936,-0.52846,
,,,,,,2.91194,4.49924,4.3191,3.77581,
,,,,,,3.21441,2.77515,1.55085,2.48092,
,,,,,,2.86503,2.99477,6.28439,2.28768,
,,,,,,2.87325,4.43496,4.48041,0.720256,
,,,,,,0.619915,3.6922,5.83788,1.86668,
,,,,,,4.1004,3.77606,3.40871,0.525285,
,,,,,,2.34871,3.60423,4.98246,2.97683,
,,,,,,3.05391,1.08641,5.19607,0.809235,
,,,,,,0.969191,4.54539,2.94887,1.38441,
,,,,,,1.79232,3.38986,3.5439,1.78904,
,,,,,,3.71447,,4.34593,2.79705,
,,,,,,3.04517,,4.40357,1.44276,
,,,,,,3.89159,,3.50684,4.63653,
,,,,,,3.47779,,5.15944,4.72302,
,,,,,,2.7869,,-1.68334,2.79705,
,,,,,,0.603212,,4.70749,4.36136,
,,,,,,3.91529,,4.65998,3.49914,
,,,,,,1.49523,,2.65702,4.5584,
,,,,,,3.6411,,4.06311,4.32976,
,,,,,,4.30205,,3.26174,2.53966,
,,,,,,3.0418,,4.26331,4.17265,
,,,,,,4.24702,,5.61393,5.55341,
,,,,,,2.83701,,5.16905,3.71155,
,,,,,,2.80411,,5.37842,3.30324,
,,,,,,2.10654,,4.91619,4.58322,
,,,,,,1.03951,,6.00942,5.27435,
,,,,,,1.89311,,4.78862,3.64036,
,,,,,,3.23145,,4.73007,5.66028,
,,,,,,3.77792,,3.99731,4.54356,
,,,,,,1.63311,,6.60368,3.69217,
,,,,,,1.12894,,4.01518,5.01576,
,,,,,,2.85153,,2.78934,4.80353,
,,,,,,3.20641,,5.61909,5.05377,
,,,,,,-0.640574,,2.26591,3.72331,
,,,,,,2.08138,,5.09894,4.92185,
,,,,,,1.50161,,3.60877,4.30022,
,,,,,,3.2355,,4.80801,0.227462,
,,,,,,-0.326521,,-1.14872,3.89403,
,,,,,,2.2879,,4.77858,3.46195,
,,,,,,2.59751,,4.67571,4.16822,
,,,,,,3.18136,,3.45641,3.7826,
,,,,,,2.42274,,5.2419,5.1169,
,,,,,,3.04948,,5.98886,5.20725,
,,,,,,2.89582,,5.1485,4.4057,
,,,,,,2.35015,,1.62869,2.97094,
,,,,,,1.51529,,2.75688,3.79959,
,,,,,,2.17408,,3.58053,4.67851,
,,,,,,3.76977,,4.65763,3.71583,
,,,,,,0.581478,,6.17553,2.72386,
,,,,,,-0.160412,,3.63703,0.409909,
,,,,,,3.15539,,5.47473,3.85983,
,,,,,,1.02275,,5.82893,5.36448,
,,,,,,2.8881,,3.54692,3.04209,
,,,,,,3.35501,,3.63212,5.52298,
,,,,,,1.18992,,5.9589,3.42322,
,,,,,,2.12755,,4.74157,0.734289,
,,,,,,1.54542,,4.68134,1.99039,
,,,,,,2.92326,,3.88939,4.99613,
,,,,,,1.36098,,3.63117,5.02939,
,,,,,,0.193138,,4.18927,5.04877,
,,,,,,0.80425,,4.60881,5.33503,
,,,,,,4.4924,,-1.08306,2.78328,
,,,,,,-2.07191,,3.14234,5.97065,
,,,,,,-0.525848,,4.83702,2.6407,
,,,,,,-0.404541,,4.69279,-0.0439205,
,,,,,,3.07489,,3.62893,3.69009,
,,,,,,1.87954,,4.51055,3.38698,
,,,,,,2.47594,,0.954226,4.84633,
,,,,,,2.23757,,5.49519,-1.31236,
,,,,,,1.31518,,0.683481,3.9364,
,,,,,,0.0895939,,3.37269,0.304421,
,,,,,,0.4347,,5.07669,0.62244,
,,,,,,3.24894,,4.59196,3.71477,
,,,,,,0.885749,,2.86711,3.08681,
,,,,,,1.83196,,5.00417,4.17109,
,,,,,,2.60276,,5.13144,4.0571,
,,,,,,0.356345,,2.69542,3.60999,
,,,,,,1.07924,,4.19287,3.99678,
,,,,,,3.49441,,2.96809,4.53306,
,,,,,,3.21303,,6.19938,2.81462,
,,,,,,2.39327,,3.27045,0.54904,
,,,,,,2.46026,,2.80121,4.21324,
,,,,,,2.67382,,3.85901,2.61531,
,,,,,,2.18302,,0.311103,2.26798,
,,,,,,-0.396548,,5.17921,4.65332,
,,,,,,0.294943,,3.73122,4.77085,
,,,,,,3.25479,,5.98634,4.51487,
,,,,,,0.946125,,3.72884,2.68811,
,,,,,,3.06801,,-1.67877,1.74844,
,,,,,,3.92437,,5.08774,3.73908,
,,,,,,2.00845,,4.24884,4.3766,
,,,,,,1.92051,,5.59188,5.17661,
,,,,,,2.29922,,5.00961,4.26213,
,,,,,,4.07357,,5.14251,4.69631,
,,,,,,1.43003,,5.16217,3.18429,
,,,,,,2.39904,,5.35504,3.38966,
,,,,,,3.15613,,3.4866,4.55422,
,,,,,,2.49494,,2.31283,3.52183,
,,,,,,3.31394,,5.07429,1.13378,
,,,,,,2.5898,,3.69229,4.69458,
,,,,,,0.0719392,,4.21868,2.04205,
,,,,,,4.18041,,5.5795,5.86974,
,,,,,,2.62038,,5.05683,3.36328,
,,,,,,3.68194,,6.44214,5.11249,
,,,,,,2.58299,,4.30682,3.05336,
,,,,,,3.99311,,5.49231,4.4928,
,,,,,,4.15876,,4.6404,3.29994,
,,,,,,3.39869,,4.24673,4.20366,
,,,,,,2.44909,,4.86128,3.64375,
,,,,,,2.26863,,6.06074,4.15477,
,,,,,,1.91864,,5.48694,5.01677,
,,,,,,2.85643,,3.61259,4.03635,
,,,,,,2.71555,,5.79951,4.21876,
,,,,,,1.14176,,1.29401,8.04568,
,,,,,,4.27421,,5.14704,3.10638,
,,,,,,2.68404,,2.05373,4.2452,
,,,,,,2.7089,,4.41818,,
,,,,,,3.12653,,5.73906,5.24132,
,,,,,,-0.469658,,5.45545,7.96398,
,,,,,,3.58931,,1.45464,,
,,,,,,2.32306,,3.78563,5.47692,
,,,,,,3.23214,,5.45213,4.91207,
,,,,,,3.09713,,4.25052,4.64381,
,,,,,,1.54814,,2.94913,4.7647,
,,,,,,2.95814,,5.548,3.74202,
,,,,,,2.78082,,5.27351,4.21077,
,,,,,,4.19355,,4.30669,4.65167,
,,,,,,4.21986,,3.84574,5.079,
,,,,,,1.36214,,3.5133,5.95249,
,,,,,,1.80484,,3.39605,3.93847,
,,,,,,1.23926,,5.51384,4.13606,
,,,,,,4.00112,,4.74219,4.80994,
,,,,,,1.80884,,2.36712,3.65007,
,,,,,,1.27671,,0.617561,3.95305,
,,,,,,4.25132,,2.39169,3.81657,
,,,,,,2.0367,,4.06581,5.22843,
,,,,,,2.84943,,1.76502,5.72842,
,,,,,,2.51833,,2.63995,4.51034,
,,,,,,-0.0167231,,-0.604765,4.4154,
,,,,,,0.548896,,1.41294,5.91844,
,,,,,,2.62216,,-0.573238,3.41735,
,,,,,,1.13664,,2.43475,4.71155,
,,,,,,-1.11038,,1.1538,4.6208,
,,,,,,3.85287,,-0.697945,6.47817,
,,,,,,4.15198,,5.5517,7.13958,
,,,,,,1.77984,,4.43659,7.31847,
,,,,,,0.581484,,6.39779,7.24036,
,,,,,,3.57572,,4.37614,6.14126,
,,,,,,1.40376,,2.26294,5.81818,
,,,,,,3.50851,,2.6269,6.68314,
,,,,,,-1.26206,,4.77503,7.65964,
,,,,,,4.49419,,3.466,7.10693,
,,,,,,4.01399,,3.50041,5.69981,
,,,,,,2.16861,,4.87209,6.49065,
,,,,,,2.90408,,5.11132,3.00623,
,,,,,,3.23063,,5.62326,7.27281,
,,,,,,2.82345,,2.89446,6.59077,
,,,,,,3.36611,,3.13931,1.97739,
,,,,,,1.06849,,-0.766062,7.11176,
,,,,,,3.22396,,2.99781,5.50492,
,,,,,,1.89341,,-2.17162,6.03954,
,,,,,,4.02904,,1.37009,6.13138,
,,,,,,3.62722,,-0.961084,5.60558,
,,,,,,1.85675,,2.83019,6.78865,
,,,,,,3.4769,,2.90038,3.06931,
,,,,,,1.68374,,3.22644,,
,,,,,,4.1498,,3.23791,4.6386,
,,,,,,2.26669,,-0.756144,4.32152,
,,,,,,4.46755,,-1.23449,2.13717,
,,,,,,2.21039,,0.774888,2.42716,
,,,,,,4.68621,,2.09663,4.55031,
,,,,,,1.99446,,3.39788,4.11364,
,,,,,,-1.23199,,2.76677,2.30987,
,,,,,,4.76883,,2.3685,4.72,
,,,,,,3.95392,,2.85738,2.33285,
,,,,,,2.9222,,-0.132784,-0.922661,
,,,,,,0.142723,,2.59642,1.85422,
,,,,,,-0.694736,,2.0007,1.65971,
,,,,,,3.46207,,2.30946,3.06334,
,,,,,,3.46608,,-0.46926,3.78421,
,,,,,,-0.579403,,0.457108,3.24162,
,,,,,,2.92115,,2.48522,5.05885,
,,,,,,2.40666,,3.27558,5.14552,
,,,,,,3.44866,,2.17341,2.81994,
,,,,,,3.3094,,1.8966,3.80978,
,,,,,,3.77895,,-1.13625,4.52232,
,,,,,,3.10406,,-0.226547,3.88028,
,,,,,,3.08124,,2.86206,1.71227,
,,,,,,3.57176,,-0.0360656,4.10223,
,,,,,,1.37977,,2.64829,3.61733,
,,,,,,1.43417,,3.08747,2.32896,
,,,,,,3.29977,,4.17771,2.89137,
,,,,,,4.05788,,3.84396,5.59204,
,,,,,,1.95618,,2.65223,2.31237,
,,,,,,2.49354,,0.559507,5.88779,
,,,,,,1.81562,,2.47487,3.72176,
,,,,,,3.798,,2.56854,3.37657,
,,,,,,2.77799,,2.84366,3.43997,
,,,,,,3.83015,,2.96144,4.47336,
,,,,,,3.03535,,4.16604,3.80835,
,,,,,,3.66507,,4.92612,4.4429,
,,,,,,2.37662,,4.63341,4.23368,
,,,,,,-1.45131,,3.97448,4.80539,
,,,,,,4.20343,,4.94801,1.44767,
,,,,,,3.21976,,4.82618,3.67694,
,,,,,,3.93027,,1.74078,3.07291,
,,,,,,3.47548,,5.28686,4.76414,
,,,,,,2.54509,,3.35596,4.52247,
,,,,,,4.89092,,3.44427,3.69802,
,,,,,,3.31495,,0.963506,3.53224,
,,,,,,2.45082,,5.19018,4.91878,
,,,,,,3.81167,,6.21968,4.01183,
,,,,,,1.49837,,4.17747,2.68811,
,,,,,,2.85451,,4.73363,4.14425,
,,,,,,2.69634,,5.75633,3.36838,
,,,,,,-0.556067,,3.82087,2.23131,
,,,,,,3.77464,,5.82471,5.5305,
,,,,,,3.03206,,4.67661,3.0105,
,,,,,,1.45261,,4.8467,3.55064,
,,,,,,3.91483,,4.01497,4.68298,
,,,,,,0.965827,,4.57646,1.17111,
,,,,,,4.14578,,5.02518,2.93821,
,,,,,,2.74421,,3.76201,2.61861,
,,,,,,2.97303,,3.2259,4.72617,
,,,,,,4.28735,,5.25214,4.07452,
,,,,,,3.89409,,5.74347,4.49889,
,,,,,,2.98907,,4.58146,3.8318,
,,,,,,3.32025,,4.88713,5.7458,
,,,,,,3.222,,4.14232,3.77041,
,,,,,,2.20274,,4.57509,5.1111,
,,,,,,3.59445,,5.24027,4.10595,
,,,,,,1.23784,,7.53848,3.43267,
,,,,,,-0.0914039,,4.33778,5.02989,
,,,,,,4.37414,,7.20538,4.61316,
,,,,,,-0.316887,,4.67673,2.55446,
,,,,,,3.30227,,6.21953,1.60854,
,,,,,,3.57288,,6.36745,3.59112,
,,,,,,4.15883,,6.02834,4.08388,
,,,,,,0.752835,,4.77306,5.2229,
,,,,,,3.3546,,6.9712,4.21617,
,,,,,,1.69617,,6.19293,4.99614,
,,,,,,3.69652,,5.37185,5.16393,
,,,,,,-1.05281,,6.21078,4.26006,
,,,,,,0.0305292,,2.39976,2.44627,
,,,,,,2.83757,,2.62585,4.51902,
,,,,,,3.19612,,2.94054,1.98264,
,,,,,,3.87727,,7.28946,1.03925,
,,,,,,1.30192,,5.42653,5.53638,
,,,,,,3.12147,,4.81679,2.14831,
