30pN,20pN,15pN,12pN,10pN,7.5pN,7pN,6.5pN,6pN,5.5pN,5pN
,-3.88382,-3.97395,-4.29241,0.386078,1.91348,3.70106,4.74654,-2.39594,5.8962,
,-1.30206,-3.40512,-1.15306,-1.45188,3.31051,3.17066,5.62768,3.79244,3.00755,
,-3.05508,-0.718875,-1.67922,-3.15297,1.51418,2.44423,3.47633,2.2494,5.48896,
,-2.6176,-1.81948,-4.64146,-0.427925,3.42404,2.69223,3.39359,4.62454,1.88896,
,-1.59032,-1.70035,-3.64962,-1.92087,3.51323,4.38205,0.290974,2.80576,2.24782,
,-1.63066,-3.46574,-0.302444,-2.07163,2.79448,4.78657,2.16882,3.4753,3.38026,
,-0.287682,-4.36655,-1.26376,-1.06005,0.819952,2.72915,5.01414,3.69108,5.39978,
,-0.29815,-1.96169,-2.36973,-1.8439,2.15937,3.17767,2.48903,3.54155,2.68442,
,-4.16672,-2.27994,-2.89062,1.6551,4.32555,4.22658,3.21498,2.78618,4.37876,
,-3.95467,-1.04606,-1.0268,1.18071,2.09867,4.03629,4.4657,2.76653,3.75275,
,-3.27434,-2.12544,-2.55571,-0.401687,4.36531,2.71272,6.05888,3.38659,2.81327,
,-3.4975,-0.0734313,-2.40561,0.0674717,2.51945,4.07984,5.45562,3.13493,1.14033,
,-3.70761,-0.945025,-1.70303,0.835298,0.288114,4.44367,4.66582,2.21613,2.51959,
,-3.91102,-2.07944,-2.57992,-0.580587,0.316576,4.89691,4.00969,5.07808,4.39294,
,-2.50962,-1.52432,-1.62816,-0.758475,1.32096,4.60683,-0.195262,5.03831,4.27754,
,-2.98023,-1.17416,-0.9679,0.277556,2.15564,-0.472941,3.77846,0.447745,4.54341,
,-4.04111,-1.33674,-1.1415,0.886244,1.07368,2.44534,3.38371,3.37498,1.915,
,-1.83008,-0.661435,-1.86614,-1.67659,0.522744,3.32353,4.09459,2.75018,5.62946,
,-2.89723,-3.23635,-0.436012,0.444942,4.7082,1.14902,3.18426,2.44982,3.89115,
,-3.40512,-2.30896,-1.39833,0.782531,1.23121,3.52985,4.76329,2.97414,4.89274,
,-2.3263,-1.45081,-1.1933,-0.592886,1.4646,4.34675,3.99326,4.92495,4.3807,
,-3.45409,0.105351,-0.943456,-1.56317,3.01381,2.50059,3.50637,3.87331,3.43165,
,-3.11375,-1.44532,-1.67462,-1.30026,3.89051,4.9737,5.43082,3.21904,4.47363,
,-3.85763,-0.551353,-0.913943,-0.642682,3.11238,4.26684,3.72978,4.16518,3.693,
,-2.80434,0.828159,-0.716498,-0.464547,3.55759,5.66397,6.4436,3.37382,3.73225,
,-4.01372,-3.90495,-0.588589,0.0386436,2.5896,4.95199,4.96802,4.67615,3.13818,
,-3.2939,-1.75817,-3.10419,1.36668,1.52694,4.21208,5.62091,3.82619,4.89653,
,-3.40512,-1.64828,-2.92414,-1.76276,2.8671,0.796299,1.96718,2.58715,5.26588,
,-4.15888,-2.86244,-2.23101,0.601306,3.05127,0.298793,0.998018,4.7474,5.05588,
,-3.4975,-3.70761,-0.50175,1.04577,0.239466,0.793201,5.48393,3.89532,5.52845,
,-4.09823,-3.52235,-1.92552,1.35516,-0.142818,0.565723,4.22426,5.67708,2.78684,
,-2.74182,-4.32905,-1.21443,1.31114,-0.719766,1.64661,4.11146,4.0894,0.859526,
,-2.22193,-4.25733,-2.24008,1.30976,0.83784,0.439557,3.7786,3.98633,3.34078,
,-2.85394,-4.09823,0.446607,1.47924,-0.0202711,0.839967,5.01441,2.49307,3.08598,
,-4.36655,-1.25987,-0.594642,-0.662618,-1.58509,-0.594861,4.80195,5.9189,1.06805,
,-2.11926,-2.35676,0.552332,-0.261871,1.17145,1.61924,5.1925,2.50231,3.54613,
,-2.68298,-1.09958,0.0706448,0.8423,4.30778,3.83694,3.68184,3.34983,3.70058,
,-0.402046,-1.81345,0.363392,0.407263,4.41509,4.35103,3.85524,3.87196,3.03922,
,-2.61399,-3.53027,-1.4529,-1.30387,-0.730023,4.88698,4.31102,4.56134,2.35792,
,-2.17789,-1.9142,0.240197,-0.662385,3.48424,5.3136,3.79394,2.90463,2.23874,
,,-1.59396,0.532156,-2.22193,1.59801,3.6088,3.54456,0.0134097,3.59256,
,-2.2873,-1.67922,-0.716907,-1.09667,2.93756,3.60817,1.75422,4.4955,3.39857,
,-2.74182,-1.8439,0.651752,1.14629,1.10419,4.11111,5.5226,5.76091,5.10513,
,-3.40512,-0.617928,0.864197,0.316998,0.539541,2.95785,4.44931,4.52555,4.54844,
,-2.38818,-1.52878,0.371977,-0.306077,2.2924,4.37782,4.21979,1.60847,4.75443,
,-2.80434,-1.76096,-0.41732,1.83815,3.104,2.29182,3.16966,5.51728,4.65748,
,-2.36712,-1.34796,-1.9351,0.102015,3.40719,2.04906,4.16965,4.36176,4.40021,
,-3.93575,-2.54945,-0.596856,0.926993,3.34068,4.38817,4.97488,2.91876,5.32698,
,-3.19379,-3.59926,-0.338428,2.26543,3.17476,3.40873,3.91204,3.54233,5.23813,
,-2.83712,-1.58436,2.31214,0.778407,4.47298,2.21989,3.33154,2.89513,4.67775,
,-3.93575,-1.8439,-0.393339,1.45994,4.8727,2.79193,4.87808,3.33117,4.86997,
,-2.3263,-2.45413,-3.78517,0.139501,1.7101,3.70609,5.15469,2.85603,5.53102,
,-2.04864,-3.06549,-1.21197,-1.74686,3.7794,3.80746,3.17221,3.21903,4.34538,
,-2.50066,-2.85606,-0.406436,-1.20952,3.79224,1.9228,4.84963,3.41139,1.41105,
,-3.92334,-3.18491,-0.00159126,0.850142,0.758476,5.27179,2.28082,3.95947,2.23,
,-4.32875,-3.79056,-1.37611,0.565711,4.55311,3.02119,1.72831,1.54469,4.25163,
,-2.75708,-2.88842,0.0913022,2.43808,0.827578,1.5505,1.2381,3.6113,5.27419,
,-2.84971,-3.78517,-3.18491,2.08903,2.72939,3.93426,3.28095,5.35687,3.45145,
,-2.93786,-1.86259,-3.2179,-1.59632,2.61427,4.77695,4.88012,4.52172,2.6124,
,-5.04063,-1.19208,-0.800799,0.433729,4.19406,5.2136,4.5532,3.03403,3.03729,
,-2.72272,-2.6812,-1.90347,-1.16957,2.56813,5.312,4.72984,3.60214,5.21519,
,-2.24469,-2.06491,-0.88409,1.18833,1.95986,5.05739,3.28142,3.84923,4.03245,
,-3.30713,-3.7379,-0.19537,0.709611,-0.160158,3.75887,1.90286,-0.768138,2.71772,
,-4.22345,-0.565651,-0.737057,1.25053,4.58756,5.20758,5.02684,3.90294,3.12838,
,-4.22345,-0.986391,-2.69375,2.81397,1.9448,0.981262,2.71067,3.13894,4.61385,
,-4.73424,-4.00699,-0.570169,1.02887,2.45719,0.993663,0.78798,4.22142,5.23053,
,-3.79597,-2.64101,0.611395,-2.60735,3.48796,3.51651,3.03826,4.47595,3.81355,
,-4.04111,-3.67336,-0.716354,-0.969665,1.8879,4.22148,2.6091,2.32802,4.57281,
,-3.12482,-4.62889,-0.818892,1.11721,1.94031,2.913,5.43872,3.75481,3.74796,
,-3.88694,-4.29241,-3.17028,2.69935,0.17185,1.91979,5.31468,-0.0548776,4.05636,
,-1.79565,-3.53027,-3.0295,-3.15154,3.23668,4.10876,2.31361,-1.25642,4.0888,
,-2.39888,-3.06027,-0.253757,0.132781,1.67226,4.18553,1.91028,3.71276,4.9047,
,-3.4975,-3.26791,-0.334327,1.78992,2.26396,1.77848,2.74963,2.76981,4.35405,
,-2.24008,-1.78994,-2.29194,-0.482578,5.13309,-3.05775,4.18215,3.20095,5.15456,
,-2.77259,-1.81948,-1.36121,2.69226,0.0967637,5.39731,2.36781,3.38225,3.46171,
,-2.54945,-1.77243,-1.03846,3.29473,0.0116321,4.33256,4.50221,2.72227,4.28457,
,-3.40512,-1.01242,-0.249359,2.47746,3.54391,4.58389,4.74905,3.16076,5.19572,
,-4.04111,-3.50559,-1.61581,0.0853517,4.38305,5.08389,1.89008,1.43986,3.55392,
,-3.7534,-2.53625,-2.00419,0.121598,-0.0398433,2.68668,1.33385,3.88041,4.54196,
,-3.40512,-2.49695,-3.63564,1.29467,0.988797,5.11005,2.724,4.63566,3.03505,
,-4.29241,-1.96169,-0.403512,-0.740637,3.36079,3.2133,4.06994,4.39951,3.02688,
,-4.85203,-3.37611,1.04204,0.621705,2.93869,5.05777,0.532726,3.80734,3.93391,
,-3.46574,-1.62075,-0.962754,-0.46767,0.194579,4.56443,4.09185,4.19266,5.13344,
,-4.04111,-3.43495,-0.70889,0.380421,-1.45899,4.54146,2.85384,2.62704,4.77035,
,-3.40512,-3.51375,-0.485759,0.826454,-0.0117892,4.09783,2.6586,3.71667,5.44237,
,-2.45413,-1.79565,-0.669978,0.952275,-1.41803,1.42663,3.05924,4.33907,0.880697,
,-3.53027,-3.40512,-3.53027,-1.17099,3.39635,3.82691,4.11212,4.95849,3.9712,
,-3.67336,-3.06027,-0.534538,-0.363038,2.92074,3.76609,3.84538,2.27437,5.36444,
,-3.46574,-3.19379,0.569623,0.107957,2.93699,4.98621,5.47824,,5.24905,
,-3.59926,-3.84045,0.0896579,1.0518,1.1977,3.47579,4.33493,,3.09721,
,-3.2939,-3.34796,-2.45698,0.221943,4.39508,3.20798,4.25362,4.88394,3.55957,
,-3.53027,-2.24933,-0.494313,-0.740134,2.87486,3.44591,1.16161,2.25992,3.49921,
,-3.67336,-1.90757,-0.807055,1.74545,2.16233,3.821,3.49338,5.63889,5.32145,
,-4.85203,-3.59926,-0.441502,0.696093,-0.23197,4.76363,0.676438,-0.60575,2.37405,
,-3.7534,-3.46574,-2.39351,2.05435,1.01084,4.0732,6.39862,0.308374,4.92468,
,-4.15888,-1.5401,1.02991,0.479459,1.79515,4.21675,4.96902,3.66668,1.9737,
,-3.46574,-2.74482,1.37869,0.976558,2.41153,4.69793,3.30911,3.45391,0.539238,
